"azienda" "tipo" "cbranca" "qta" "nomeazienda"
905 "Pub" 9 8247 "CARITA"
905 "Pub" 10 2258 "CARITA"
905 "Pub" 12 4373 "CARITA"
905 "Pub" 13 402 "CARITA"
905 "Pub" 14 7742 "CARITA"
905 "Pub" 18 21439 "CARITA"
905 "Pub" 19 22266 "CARITA"
905 "Pub" 20 2 "CARITA"
905 "Pub" 24 2921 "CARITA"
905 "Pub" 26 18316 "CARITA"
905 "Pub" 29 65597 "CARITA"
905 "Pub" 30 3268 "CARITA"
905 "Pub" 32 19363 "CARITA"
905 "Pub" 33 10191 "CARITA"
905 "Pub" 34 23947 "CARITA"
905 "Pub" 35 6135 "CARITA"
905 "Pub" 36 18754 "CARITA"
905 "Pub" 37 18137 "CARITA"
905 "Pub" 38 7516 "CARITA"
905 "Pub" 39 3785 "CARITA"
905 "Pub" 40 8073 "CARITA"
905 "Pub" 43 11600 "CARITA"
905 "Pub" 52 13207 "CARITA"
905 "Pub" 56 69324 "CARITA"
905 "Pub" 58 10941 "CARITA"
905 "Pub" 61 15622 "CARITA"
905 "Pub" 64 40048 "CARITA"
905 "Pub" 68 11956 "CARITA"
905 "Pub" 69 102039 "CARITA"
905 "Pub" 70 73987 "CARITA"
905 "Pub" 71 3333 "CARITA"
905 "Pub" 79 12364 "CARITA"
905 "Pub" 81 1356 "CARITA"
905 "Pub" 82 6581 "CARITA"
905 "Pub" 98 1604793 "CARITA"
905 "Pub" 99 34799 "CARITA"
906 "Pub" 1 9559 "S.CROCE"
906 "Pub" 7 632 "S.CROCE"
906 "Pub" 8 21996 "S.CROCE"
906 "Pub" 9 7671 "S.CROCE"
906 "Pub" 12 2752 "S.CROCE"
906 "Pub" 14 7199 "S.CROCE"
906 "Pub" 18 6667 "S.CROCE"
906 "Pub" 19 11495 "S.CROCE"
906 "Pub" 24 2971 "S.CROCE"
906 "Pub" 26 16424 "S.CROCE"
906 "Pub" 29 68190 "S.CROCE"
906 "Pub" 30 2277 "S.CROCE"
906 "Pub" 32 25305 "S.CROCE"
906 "Pub" 33 9060 "S.CROCE"
906 "Pub" 34 26340 "S.CROCE"
906 "Pub" 35 7607 "S.CROCE"
906 "Pub" 36 9696 "S.CROCE"
906 "Pub" 37 15529 "S.CROCE"
906 "Pub" 38 12529 "S.CROCE"
906 "Pub" 39 3157 "S.CROCE"
906 "Pub" 40 741 "S.CROCE"
906 "Pub" 43 10707 "S.CROCE"
906 "Pub" 52 13037 "S.CROCE"
906 "Pub" 56 22119 "S.CROCE"
906 "Pub" 58 8486 "S.CROCE"
906 "Pub" 61 14110 "S.CROCE"
906 "Pub" 64 13853 "S.CROCE"
906 "Pub" 68 18702 "S.CROCE"
906 "Pub" 69 84492 "S.CROCE"
906 "Pub" 70 45577 "S.CROCE"
906 "Pub" 71 8112 "S.CROCE"
906 "Pub" 79 15034 "S.CROCE"
906 "Pub" 82 3495 "S.CROCE"
906 "Pub" 98 1435884 "S.CROCE"
906 "Pub" 99 11660 "S.CROCE"
907 "Pub" 1 8173 "S.ANTONIO"
907 "Pub" 7 194 "S.ANTONIO"
907 "Pub" 8 23072 "S.ANTONIO"
907 "Pub" 9 12119 "S.ANTONIO"
907 "Pub" 10 1015 "S.ANTONIO"
907 "Pub" 12 3199 "S.ANTONIO"
907 "Pub" 13 237 "S.ANTONIO"
907 "Pub" 14 4777 "S.ANTONIO"
907 "Pub" 18 12586 "S.ANTONIO"
907 "Pub" 19 11708 "S.ANTONIO"
907 "Pub" 21 858 "S.ANTONIO"
907 "Pub" 24 2200 "S.ANTONIO"
